ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
SILVERBEES.NS,2026-01-27,2026-02-09,13,317.85,243.7,-23.405
HNGSNGBEES.NS,2024-10-07,2024-10-14,7,409.58,359.51,-12.312
MON100.NS,2024-12-30,2025-01-13,14,215.63,189.55,-12.183
PSUBNKBEES.NS,2020-12-14,2020-12-21,7,20.36,18.02,-11.582
CONSUMBEES.NS,2020-05-11,2020-05-18,7,52.72,47.36,-10.257
SILVERBEES.NS,2026-05-18,2026-06-08,21,253.16,227.93,-10.056
MON100.NS,2020-02-17,2020-03-02,14,68.3,61.73,-9.71
MON100.NS,2018-10-01,2018-10-29,28,64.09,58.09,-9.452
HNGSNGBEES.NS,2024-10-14,2024-10-21,7,359.51,326.5,-9.273
HNGSNGBEES.NS,2020-03-02,2020-04-07,36,372.0,339.98,-8.699
CPSEETF.NS,2022-06-13,2022-06-20,7,34.39,31.44,-8.669
PSUBNKBEES.NS,2022-09-19,2022-09-26,7,35.69,32.7,-8.469
HNGSNGBEES.NS,2024-11-11,2024-11-18,7,359.38,329.95,-8.281
MAFANG.NS,2021-11-22,2021-12-06,14,59.75,55.16,-7.774
CPSEETF.NS,2022-09-19,2022-09-26,7,37.41,34.55,-7.737
