date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2018-01-29,BUY,MON100.NS,9592,52.1,499743.2,249.8716,500006.9284,,
2018-01-29,BUY,MOM100.NS,21122,23.66,499746.52,249.87326000000002,10.535139999934472,,
2018-02-05,SELL,MOM100.NS,21122,22.11,467007.42,233.50370999999998,466784.4514299999,23.66,-6.551
2018-02-05,BUY,GOLDBEES.NS,17165,27.18,466544.7,233.27235000000002,6.479079999902751,,
2018-04-02,SELL,MON100.NS,9592,51.55,494467.6,247.2338,494226.8452799999,52.1,-1.056
2018-04-02,BUY,LIQUIDBEES.NS,493,1000.0,493000.0,246.5,980.3452799998922,,
2018-04-09,SELL,GOLDBEES.NS,17165,27.38,469977.7,234.98885,470723.0564299999,27.18,0.736
2018-04-09,BUY,JUNIORBEES.NS,1532,307.03,470369.95999999996,235.18498,117.91144999989774,,
2018-04-16,SELL,LIQUIDBEES.NS,493,999.99,492995.07,246.497535,492866.48391499993,1000.0,-0.001
2018-04-16,BUY,GOLDBEES.NS,17606,27.98,492615.88,246.30794,4.295974999899045,,
2018-04-23,SELL,GOLDBEES.NS,17606,28.01,493144.06000000006,246.57203000000004,492901.783945,27.98,0.107
2018-04-23,BUY,MON100.NS,9366,52.6,492651.60000000003,246.32580000000002,3.858144999947399,,
2018-04-30,SELL,MON100.NS,9366,50.11,469330.26,234.66513,469099.453015,52.6,-4.734
2018-04-30,BUY,NIFTYBEES.NS,4217,111.17,468803.89,234.401945,61.161069999972824,,
2018-05-07,SELL,JUNIORBEES.NS,1532,305.34,467780.87999999995,233.89043999999998,467608.15062999993,307.03,-0.55
2018-05-07,BUY,BANKBEES.NS,1787,261.4,467121.8,233.5609,252.7897299999604,,
2018-05-21,SELL,NIFTYBEES.NS,4217,109.05,459863.85,229.931925,459886.70780499995,111.17,-1.907
2018-05-21,BUY,MON100.NS,8318,55.26,459652.68,229.82634,4.201464999932796,,
2018-06-11,SELL,BANKBEES.NS,1787,269.42,481453.54000000004,240.72677000000002,481217.01469499996,261.4,3.068
2018-06-11,BUY,PSUBNKBEES.NS,14230,33.8,480973.99999999994,240.48699999999997,2.5276949999970384,,
2018-06-25,SELL,PSUBNKBEES.NS,14230,32.16,457636.79999999993,228.81839999999997,457410.50929499994,33.8,-4.852
2018-06-25,BUY,BANKBEES.NS,1686,271.13,457125.18,228.56259,56.766704999958165,,
2018-07-16,SELL,BANKBEES.NS,1686,272.02,458625.72,229.31286,458453.1738449999,271.13,0.328
2018-07-16,BUY,NIFTYBEES.NS,4020,113.98,458199.60000000003,229.09980000000002,24.474044999864418,,
2018-07-30,SELL,NIFTYBEES.NS,4020,117.74,473314.8,236.6574,473102.6166449998,113.98,3.299
2018-07-30,BUY,PSUBNKBEES.NS,13164,35.92,472850.88,236.42544,15.311204999801703,,
2018-08-06,SELL,MON100.NS,8318,58.37,485521.66,242.76083,485294.2103749998,55.26,5.628
2018-08-06,BUY,NIFTYBEES.NS,4084,118.74,484934.16,242.46707999999998,117.58329499984393,,
2018-08-13,SELL,NIFTYBEES.NS,4084,118.23,482851.32,241.42566000000002,482727.47763499984,118.74,-0.43
2018-08-13,BUY,MOM100.NS,22899,21.07,482481.93,241.240965,4.306669999845326,,
2018-09-03,SELL,MOM100.NS,22899,20.83,476986.17,238.493085,476751.9835849998,21.07,-1.139
2018-09-03,BUY,JUNIORBEES.NS,1493,319.1,476416.30000000005,238.20815000000002,97.47543499973835,,
2018-09-10,SELL,PSUBNKBEES.NS,13164,34.13,449287.32,224.64366,449160.15177499974,35.92,-4.983
2018-09-10,BUY,NIF100BEES.NS,3716,120.81,448929.96,224.46498000000003,5.726794999733102,,
2018-09-17,SELL,NIF100BEES.NS,3716,121.68,452162.88,226.08144000000001,451942.52535499976,120.81,0.72
2018-09-17,SELL,JUNIORBEES.NS,1493,306.47,457559.71,228.77985500000003,909273.4554999998,319.1,-3.958
2018-09-17,BUY,INFRABEES.NS,1368,331.95,454107.6,227.0538,454938.80169999984,,
2018-09-17,BUY,NIFTYBEES.NS,3819,118.96,454308.24,227.15412,403.4075799998245,,
2018-09-24,SELL,NIFTYBEES.NS,3819,114.8,438421.2,219.2106,438605.39697999984,118.96,-3.497
2018-09-24,SELL,INFRABEES.NS,1368,315.0,430920.0,215.46,869309.9369799998,331.95,-5.106
2018-09-24,BUY,NIF100BEES.NS,3731,116.44,434437.64,217.21882000000002,434655.07815999974,,
2018-09-24,BUY,GOLDBEES.NS,15890,27.34,434432.6,217.2163,5.261859999794979,,
2018-10-01,SELL,NIF100BEES.NS,3731,115.39,430520.09,215.26004500000002,430310.0918149998,116.44,-0.902
2018-10-01,BUY,LIQUIDBEES.NS,430,999.99,429995.7,214.99785,99.39396499982104,,
2018-11-05,SELL,LIQUIDBEES.NS,430,999.99,429995.7,214.99785,429880.09611499985,999.99,0.0
2018-11-05,BUY,INFRABEES.NS,1378,311.7,429522.6,214.7613,142.73481499985792,,
2018-11-12,SELL,INFRABEES.NS,1378,311.0,428558.0,214.279,428486.4558149999,311.7,-0.225
2018-11-12,BUY,MOM100.NS,21739,19.7,428258.3,214.12915,14.02666499989573,,
2018-11-19,SELL,MOM100.NS,21739,19.21,417606.19,208.803095,417411.4135699999,19.7,-2.487
2018-11-19,SELL,GOLDBEES.NS,15890,27.53,437451.7,218.72585,854644.38772,27.34,0.695
