date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2018-01-29,BUY,MON100.NS,9592,52.1,499743.2,249.8716,500006.9284,,
2018-01-29,BUY,MOM100.NS,21122,23.66,499746.52,249.87326000000002,10.535139999934472,,
2018-02-12,SELL,MOM100.NS,21122,22.09,466584.98,233.29249,466362.2226499999,23.66,-6.636
2018-02-12,BUY,GOLDBEES.NS,17264,27.0,466128.0,233.064,1.1586499998811632,,
2018-02-19,SELL,MON100.NS,9592,50.4,483436.8,241.7184,483196.24024999986,52.1,-3.263
2018-02-19,BUY,HNGSNGBEES.NS,1557,310.0,482670.0,241.335,284.9052499998361,,
2018-02-26,SELL,HNGSNGBEES.NS,1557,306.3,476909.10000000003,238.45455,476955.55069999985,310.0,-1.194
2018-02-26,BUY,MON100.NS,9262,51.47,476715.14,238.35757,2.0531299998401664,,
2018-03-05,SELL,GOLDBEES.NS,17264,27.4,473033.6,236.5168,472799.13632999983,27.0,1.481
2018-03-05,BUY,HNGSNGBEES.NS,1458,324.0,472392.0,236.196,170.94032999983756,,
2018-03-26,SELL,HNGSNGBEES.NS,1458,333.5,486243.0,243.1215,486170.81882999983,324.0,2.932
2018-03-26,BUY,GOLDBEES.NS,17644,27.54,485915.76,242.95788000000002,12.100949999818113,,
2018-04-02,SELL,GOLDBEES.NS,17644,27.45,484327.8,242.1639,484097.7370499998,27.54,-0.327
2018-04-02,BUY,HNGSNGBEES.NS,1382,350.0,483700.0,241.85,155.88704999984475,,
2018-04-09,SELL,MON100.NS,9262,50.31,465971.22000000003,232.98561,465894.1214399999,51.47,-2.254
2018-04-09,BUY,GOLDBEES.NS,17007,27.38,465651.66,232.82583,9.635609999939334,,
2018-04-16,SELL,GOLDBEES.NS,17007,27.98,475855.86,237.92793,475627.5676799999,27.38,2.191
2018-04-16,BUY,JUNIORBEES.NS,1542,308.11,475105.62,237.55281,284.39486999990186,,
2018-04-23,SELL,JUNIORBEES.NS,1542,309.07,476585.94,238.29297,476632.0418999999,308.11,0.312
2018-04-23,BUY,GOLDBEES.NS,17007,28.01,476366.07,238.18303500000002,27.78886499989312,,
2018-04-30,SELL,GOLDBEES.NS,17007,27.75,471944.25,235.972125,471736.0667399999,28.01,-0.928
2018-04-30,SELL,HNGSNGBEES.NS,1382,360.0,497520.0,248.76000000000002,969007.3067399999,350.0,2.857
2018-04-30,BUY,JUNIORBEES.NS,1543,313.8,484193.4,242.09670000000003,484571.8100399999,,
2018-04-30,BUY,NIF100BEES.NS,4247,114.0,484158.0,242.079,171.7310399998678,,
2018-05-07,SELL,NIF100BEES.NS,4247,112.16,476343.51999999996,238.17175999999998,476277.07927999983,114.0,-1.614
2018-05-07,BUY,BANKBEES.NS,1821,261.4,476009.39999999997,238.00469999999999,29.674579999875277,,
2018-05-14,SELL,JUNIORBEES.NS,1543,298.62,460770.66000000003,230.38533,460569.9492499999,313.8,-4.837
2018-05-14,BUY,NIFTYBEES.NS,4121,111.69,460274.49,230.137245,65.32200499990722,,
2018-05-21,SELL,NIFTYBEES.NS,4121,109.05,449395.05,224.697525,449235.67447999987,111.69,-2.364
2018-05-21,BUY,MON100.NS,8125,55.26,448987.5,224.49375,23.680729999847244,,
2018-05-28,SELL,BANKBEES.NS,1821,269.83,491360.43,245.680215,491138.43051499984,261.4,3.225
2018-05-28,BUY,HNGSNGBEES.NS,1343,365.48,490839.64,245.41982000000002,53.370694999815896,,
2018-06-04,SELL,HNGSNGBEES.NS,1343,368.82,495325.26,247.66263,495130.96806499985,365.48,0.914
2018-06-04,BUY,BANKBEES.NS,1850,267.4,494689.99999999994,247.34499999999997,193.6230649999343,,
2018-06-18,SELL,BANKBEES.NS,1850,269.26,498131.0,249.06550000000001,498075.5575649999,267.4,0.696
2018-06-18,BUY,PSUBNKBEES.NS,14785,33.67,497810.95,248.90547500000002,15.702089999918826,,
2018-07-02,SELL,PSUBNKBEES.NS,14785,31.05,459074.25,229.537125,458860.41496499995,33.67,-7.781
2018-07-02,BUY,BANKBEES.NS,1722,266.26,458499.72,229.24985999999998,131.4451049999916,,
2018-07-09,SELL,BANKBEES.NS,1722,271.83,468091.25999999995,234.04563,467988.65947499993,266.26,2.092
2018-07-09,BUY,PSUBNKBEES.NS,14872,31.45,467724.39999999997,233.8622,30.397274999995716,,
2018-07-16,SELL,PSUBNKBEES.NS,14872,30.02,446457.44,223.22872,446264.608555,31.45,-4.547
2018-07-16,BUY,NIFTYBEES.NS,3913,113.98,446003.74,223.00187,37.86668500001542,,
2018-07-30,SELL,NIFTYBEES.NS,3913,117.74,460716.62,230.35831,460524.12837500003,113.98,3.299
2018-07-30,BUY,NIF100BEES.NS,3887,118.39,460181.93,230.090965,112.1074100000551,,
2018-08-06,SELL,MON100.NS,8125,58.37,474256.25,237.128125,474131.22928500007,55.26,5.628
2018-08-06,SELL,NIF100BEES.NS,3887,120.05,466634.35,233.317175,940532.26211,118.39,1.402
2018-08-06,BUY,PSUBNKBEES.NS,12706,36.99,469994.94,234.99747,470302.32464,,
2018-08-06,BUY,MOM100.NS,22435,20.95,470013.25,235.006625,54.06801500002621,,
2018-09-03,SELL,MOM100.NS,22435,20.83,467321.05,233.660525,467141.45749,20.95,-0.573
2018-09-03,BUY,JUNIORBEES.NS,1463,319.1,466843.30000000005,233.42165000000003,64.73583999997936,,
