ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
GOLDBEES.NS,2026-01-27,2026-03-23,55,131.45,110.72,-15.854
HNGSNGBEES.NS,2024-10-07,2024-12-16,70,409.58,348.22,-15.066
MON100.NS,2018-11-12,2018-11-19,7,56.76,48.8,-14.11
ITBEES.NS,2022-01-03,2022-01-24,21,40.0,35.73,-10.764
SILVERBEES.NS,2025-04-01,2025-04-07,6,96.72,87.03,-10.109
HNGSNGBEES.NS,2023-01-09,2023-03-20,70,302.82,272.95,-9.954
PSUBNKBEES.NS,2019-05-27,2019-06-10,14,37.42,33.83,-9.684
PSUBNKBEES.NS,2021-11-01,2022-01-03,63,31.26,28.34,-9.432
MOM100.NS,2018-01-29,2018-02-19,21,23.66,21.56,-8.967
HNGSNGBEES.NS,2024-05-13,2024-07-15,63,329.17,299.98,-8.959
HNGSNGBEES.NS,2018-10-01,2018-10-15,14,345.5,315.5,-8.774
HNGSNGBEES.NS,2020-03-02,2020-04-07,36,372.0,339.98,-8.699
PSUBNKBEES.NS,2022-02-07,2022-02-14,7,33.01,30.45,-7.847
PSUBNKBEES.NS,2024-04-29,2024-05-13,14,83.67,77.54,-7.419
PSUBNKBEES.NS,2021-06-28,2021-08-09,42,28.12,26.26,-6.708
