check,ticker,window_days,start_date,end_date,start_price,end_price,cum_pct_move
multi_day,HNGSNGBEES.NS,10,2024-09-20,2024-10-07,286.2,409.58,43.11
multi_day,SILVERBEES.NS,10,2026-01-13,2026-01-29,249.51,351.91,41.04
multi_day,BANKBEES.NS,10,2020-03-06,2020-03-23,284.77,174.78,-38.62
multi_day,HNGSNGBEES.NS,10,2024-09-18,2024-10-03,281.34,389.08,38.3
multi_day,SILVERBEES.NS,10,2026-01-09,2026-01-27,230.37,317.85,37.97
multi_day,HNGSNGBEES.NS,10,2024-09-19,2024-10-04,283.84,390.52,37.58
multi_day,SILVERBEES.NS,3,2026-01-29,2026-02-02,351.91,219.94,-37.5
multi_day,SILVERBEES.NS,10,2026-01-12,2026-01-28,243.35,332.03,36.44
multi_day,BANKBEES.NS,10,2020-03-09,2020-03-24,271.61,174.05,-35.92
multi_day,PSUBNKBEES.NS,10,2017-10-23,2017-11-06,33.1,44.59,34.71
multi_day,HNGSNGBEES.NS,10,2024-09-17,2024-10-01,282.67,380.77,34.7
multi_day,SILVERBEES.NS,10,2026-01-06,2026-01-21,231.65,310.68,34.12
multi_day,PSUBNKBEES.NS,10,2017-10-19,2017-11-03,33.11,44.35,33.95
multi_day,MID150BEES.NS,10,2020-03-09,2020-03-24,64.53,43.48,-32.62
multi_day,HNGSNGBEES.NS,10,2024-09-23,2024-10-08,284.59,375.99,32.12
multi_day,SILVERBEES.NS,10,2026-01-05,2026-01-20,225.54,297.62,31.96
multi_day,MID150BEES.NS,10,2020-03-06,2020-03-23,61.72,42.49,-31.16
multi_day,SILVERBEES.NS,10,2026-01-08,2026-01-23,223.53,292.73,30.96
multi_day,BANKBEES.NS,10,2020-03-11,2020-03-25,270.62,186.86,-30.95
multi_day,SILVERBEES.NS,5,2026-01-27,2026-02-02,317.85,219.94,-30.8
multi_day,PSUBNKBEES.NS,5,2017-10-23,2017-10-30,33.1,43.29,30.79
multi_day,BANKBEES.NS,10,2020-03-05,2020-03-20,294.59,204.25,-30.67
multi_day,BANKBEES.NS,10,2020-03-04,2020-03-19,292.7,203.57,-30.45
multi_day,INFRABEES.NS,10,2020-03-04,2020-03-19,309.77,215.99,-30.27
multi_day,PSUBNKBEES.NS,10,2020-02-26,2020-03-12,23.04,16.07,-30.25
multi_day,HNGSNGBEES.NS,10,2024-09-16,2024-09-30,282.88,367.12,29.78
multi_day,SILVERBEES.NS,10,2026-01-29,2026-02-11,351.91,247.37,-29.71
multi_day,PSUBNKBEES.NS,10,2017-10-18,2017-11-02,33.17,43.0,29.64
multi_day,BANKBEES.NS,10,2020-03-03,2020-03-18,298.27,210.12,-29.55
multi_day,HNGSNGBEES.NS,5,2024-09-23,2024-09-30,284.59,367.12,29.0
multi_day,NIFTYBEES.NS,10,2020-03-06,2020-03-23,117.18,83.52,-28.73
multi_day,PSUBNKBEES.NS,5,2017-10-19,2017-10-27,33.11,42.59,28.63
multi_day,MID150BEES.NS,10,2020-03-11,2020-03-25,58.66,41.89,-28.59
multi_day,MOM100.NS,10,2020-03-06,2020-03-23,17.27,12.37,-28.37
multi_day,HNGSNGBEES.NS,5,2024-09-24,2024-10-01,297.98,380.77,27.78
multi_day,SILVERBEES.NS,10,2026-01-02,2026-01-19,221.87,282.95,27.53
multi_day,PSUBNKBEES.NS,10,2017-10-13,2017-10-30,34.0,43.29,27.32
multi_day,BANKBEES.NS,5,2020-03-16,2020-03-23,239.97,174.78,-27.17
multi_day,PSUBNKBEES.NS,10,2017-10-17,2017-11-01,34.25,43.52,27.07
multi_day,JUNIORBEES.NS,10,2020-03-06,2020-03-23,274.28,200.42,-26.93
multi_day,SILVERBEES.NS,10,2026-01-28,2026-02-10,332.03,243.82,-26.57
multi_day,PSUBNKBEES.NS,10,2017-10-12,2017-10-27,33.66,42.59,26.53
multi_day,NV20BEES.NS,10,2020-02-26,2020-03-12,57.37,42.39,-26.11
multi_day,JUNIORBEES.NS,10,2020-03-09,2020-03-24,269.12,199.05,-26.04
multi_day,HNGSNGBEES.NS,5,2024-09-25,2024-10-03,308.75,389.08,26.02
multi_day,GOLDBEES.NS,10,2026-01-13,2026-01-29,116.37,146.53,25.92
multi_day,PSUBNKBEES.NS,10,2020-11-23,2020-12-08,16.14,20.32,25.9
multi_day,CPSEETF.NS,10,2020-03-06,2020-03-23,18.9,14.01,-25.87
multi_day,INFRABEES.NS,10,2020-03-05,2020-03-20,310.11,229.99,-25.84
multi_day,PSUBNKBEES.NS,10,2017-10-24,2017-11-07,34.31,43.11,25.65
multi_day,SILVERBEES.NS,5,2026-01-28,2026-02-03,332.03,247.34,-25.51
multi_day,CPSEETF.NS,10,2020-03-04,2020-03-19,19.52,14.55,-25.46
multi_day,SILVERBEES.NS,10,2025-09-29,2025-10-14,139.06,174.31,25.35
multi_day,SILVERBEES.NS,10,2026-01-01,2026-01-16,214.95,269.44,25.35
multi_day,PSUBNKBEES.NS,10,2020-05-21,2020-06-05,12.14,15.21,25.29
multi_day,PSUBNKBEES.NS,10,2020-05-22,2020-06-08,12.06,15.11,25.29
multi_day,NIFTYBEES.NS,10,2020-03-04,2020-03-19,119.52,89.47,-25.14
multi_day,DIVOPPBEES.NS,10,2020-03-06,2020-03-23,28.59,21.41,-25.11
multi_day,PSUBNKBEES.NS,5,2021-01-29,2021-02-05,19.92,24.92,25.1
multi_day,MOM100.NS,10,2020-03-05,2020-03-20,17.7,13.26,-25.08
