Date,GOLDBEES.NS,SILVERBEES.NS,NIFTYBEES.NS,JUNIORBEES.NS,MID150BEES.NS,NIF100BEES.NS,BANKBEES.NS,ITBEES.NS,PHARMABEES.NS,AUTOBEES.NS,INFRABEES.NS,CONSUMBEES.NS,PSUBNKBEES.NS,CPSEETF.NS,LTGILTBEES.NS,GILT5YBEES.NS,LIQUIDBEES.NS,MOM100.NS,MOMENTUM30.NS,NV20BEES.NS,DIVOPPBEES.NS,HNGSNGBEES.NS,MAFANG.NS,MON100.NS
2017-06-01,26.29,,98.21,264.12,,101.4,235.69,,,,330.11,,39.11,28.24,,,1000.0,18.16,,,26.33,247.0,,40.61
2017-06-02,26.18,,98.63,265.51,,101.02,236.39,,,,328.36,,39.31,28.22,,,1000.0,18.45,,,26.4,239.7,,41.39
2017-06-05,26.54,,98.94,268.62,,101.56,237.46,,,,330.94,,39.2,28.24,,,1000.0,18.36,,,26.6,240.0,,41.52
2017-06-06,26.67,,98.55,265.79,,102.0,236.9,,,,327.0,,39.16,28.07,,,1000.0,18.4,,,26.6,240.13,,41.61
2017-06-07,26.63,,98.78,267.6,,101.84,238.15,,,,328.0,,39.67,28.22,,,1000.0,18.8,,,26.43,249.0,,42.0
2017-06-08,26.56,,98.74,268.75,,101.84,238.36,,,,328.08,,39.03,27.95,,,1000.0,18.79,,,26.19,248.4,,42.27
2017-06-09,26.36,,98.95,268.99,,101.76,239.69,,,,328.05,,39.17,27.74,,,1000.0,18.82,,,26.05,245.0,,42.0
2017-06-12,26.31,,98.33,268.63,,101.05,237.87,,,,325.17,,38.58,27.8,,,1000.0,18.79,,,25.99,249.0,,41.5
2017-06-13,26.22,,98.42,269.78,,101.03,237.76,,,,325.41,,38.41,27.68,,,1000.0,18.56,,,27.34,249.0,,41.49
2017-06-14,26.21,,98.37,268.17,,101.73,237.31,,,,328.59,,38.72,27.6,,,999.99,18.29,,,26.26,240.0,,41.95
2017-06-15,26.17,,98.04,268.88,,101.74,236.45,,,,326.95,,38.55,27.28,,,1000.0,18.07,,,26.05,250.9,,41.7
2017-06-16,26.11,,98.05,269.41,,101.77,237.36,,,,324.79,,38.5,27.35,,,1000.0,18.41,,,26.05,237.23,,41.83
2017-06-19,26.02,,98.83,269.94,,101.41,240.77,,,,328.5,,38.9,27.32,,,999.99,18.41,,,26.13,237.0,,41.25
2017-06-20,25.98,,98.88,270.03,,102.24,240.27,,,,326.59,,38.67,27.54,,,1000.0,18.41,,,26.18,235.1,,41.24
2017-06-21,26.07,,98.58,270.07,,101.95,240.05,,,,328.8,,39.09,27.14,,,1000.0,18.38,,,26.08,231.89,,41.49
2017-06-22,26.1,,98.5,268.47,,,241.28,,,,325.58,,39.13,26.6,,,1000.0,18.43,,,26.09,252.5,,42.4
2017-06-23,26.12,,98.03,266.14,,100.57,238.08,,,,324.07,,38.48,26.07,,,1000.0,18.3,,,25.61,237.5,,42.0
2017-06-27,26.08,,97.35,262.68,,99.78,234.73,,,,323.5,,37.0,26.21,,,1000.0,18.29,,,25.29,240.0,,42.0
2017-06-28,25.99,,97.27,263.9,,100.43,235.49,,,,323.0,,36.85,26.11,,,1000.0,18.01,,,25.5,236.5,,41.83
2017-06-29,25.84,,97.36,264.01,,100.56,235.55,,,,325.56,,36.71,25.93,,,999.99,18.15,,,25.5,240.5,,41.8
