date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.400001525878906,333137.2105026245,166.56860525131225,666696.2208921241
2018-01-01,BUY,INFRABEES.NS,896,371.7000122070313,333043.21093750006,166.52160546875004,333486.4883491553
2018-01-01,BUY,HNGSNGBEES.NS,1169,285.0010070800781,333166.1772766113,166.58308863830567,153.72798390564276
2018-01-08,SELL,MON100.NS,6883,48.0,330384.0,165.192,330372.53598390566
2018-01-08,BUY,JUNIORBEES.NS,1017,324.5899963378906,330108.02627563477,165.05401313781738,99.45569513307419
2018-01-15,SELL,INFRABEES.NS,896,372.4200134277344,333688.33203125,166.844166015625,333620.94356036745
2018-01-15,SELL,JUNIORBEES.NS,1017,322.7699890136719,328257.0788269043,164.12853941345216,661713.8938478583
2018-01-15,BUY,CPSEETF.NS,10667,31.0,330677.0,165.3385,330871.5553478583
2018-01-15,BUY,NV20BEES.NS,6571,50.31999969482422,330652.71799468994,165.32635899734498,53.51099417102523
2018-01-22,SELL,HNGSNGBEES.NS,1169,304.0,355376.0,177.68800000000002,355251.822994171
2018-01-22,SELL,CPSEETF.NS,10667,30.309999465942383,323316.7643032074,161.6583821516037,678406.9289152268
2018-01-22,SELL,NV20BEES.NS,6571,50.4370002746582,331421.52880477905,165.71076440238954,1009662.7469556035
2018-01-22,BUY,BANKBEES.NS,1226,274.1579895019531,336117.69512939453,168.05884756469726,673376.9929786443
2018-01-22,BUY,MON100.NS,6782,49.59400177001953,336346.52000427246,168.17326000213623,336862.2997143697
2018-01-22,BUY,NIFTYBEES.NS,2980,112.87899780273438,336379.41345214844,168.18970672607423,314.69655549520394
2018-01-29,SELL,MON100.NS,6782,52.0989990234375,353335.4113769531,176.66770568847656,353473.4402267599
2018-01-29,SELL,NIFTYBEES.NS,2980,114.6269989013672,341588.4567260743,170.79422836303715,694891.1027244711
2018-01-29,BUY,HNGSNGBEES.NS,1062,326.82000732421875,347082.8477783203,173.54142388916017,347634.71352226165
2018-01-29,BUY,NV20BEES.NS,6603,52.59299850463867,347271.56912612915,173.6357845630646,189.50861156941392
2018-02-05,SELL,BANKBEES.NS,1226,265.3370056152344,325303.16888427734,162.65158444213867,325330.02591140463
2018-02-05,SELL,NV20BEES.NS,6603,50.58599853515625,334019.3483276367,167.00967416381837,659182.3645648775
2018-02-05,BUY,MON100.NS,6698,49.17900085449219,329400.9477233887,164.70047386169435,329616.7163676271
2018-02-05,BUY,GOLDBEES.NS,12118,27.184499740600582,329421.76785659784,164.71088392829893,30.23762710095616
2018-02-12,SELL,GOLDBEES.NS,12118,27.0,327186.0,163.593,327052.64462710096
2018-02-12,BUY,LIQUIDBEES.NS,434,751.7695922851562,326268.0030517578,163.13400152587892,621.5075738172745
2018-02-19,SELL,MON100.NS,6698,50.400001525878906,337579.2102203369,168.78960511016845,338031.928189044
2018-02-19,BUY,GOLDBEES.NS,12255,27.568500518798828,337851.97385787964,168.92598692893984,11.028344235441182
2018-02-26,SELL,LIQUIDBEES.NS,434,751.76220703125,326264.7978515625,163.13239892578125,326112.69379687216
2018-02-26,SELL,HNGSNGBEES.NS,1062,306.29998779296875,325290.5870361328,162.6452935180664,651240.6355394869
2018-02-26,BUY,MON100.NS,6322,51.47299957275391,325412.30329895025,162.70615164947512,325665.62608888716
2018-02-26,BUY,NIF100BEES.NS,2918,111.5199966430664,325415.3502044678,162.70767510223388,87.56820931716356
2018-03-05,SELL,GOLDBEES.NS,12255,27.399999618530277,335786.99532508856,167.8934976625443,335706.67003674316
2018-03-05,SELL,NIF100BEES.NS,2918,109.93000030517578,320775.74089050293,160.38787044525148,656322.0230568008
2018-03-05,BUY,HNGSNGBEES.NS,1012,323.9989929199219,327886.98083496094,163.94349041748046,328271.0987314224
2018-03-05,BUY,INFRABEES.NS,941,348.4100036621094,327853.8134460449,163.92690672302246,253.35837865446229
2018-03-12,SELL,INFRABEES.NS,941,348.5799865722656,328013.76736450195,164.006883682251,328103.11885947414
2018-03-12,BUY,LIQUIDBEES.NS,434,753.9689331054688,327222.51696777344,163.61125848388673,716.990633216803
2018-03-26,SELL,MON100.NS,6322,52.07600021362305,329224.4733505249,164.61223667526247,329776.8517470664
2018-03-26,BUY,GOLDBEES.NS,11966,27.54400062561035,329591.51148605347,164.79575574302675,20.54450526990695
2018-04-02,SELL,HNGSNGBEES.NS,1012,350.0,354200.0,177.1,354043.44450526993
2018-04-02,BUY,JUNIORBEES.NS,1186,298.2900085449219,353771.95013427734,176.88597506713867,94.60839592543198
2018-04-09,SELL,LIQUIDBEES.NS,434,756.4823608398438,328313.3446044922,164.1566723022461,328243.7963281154
2018-04-09,SELL,GOLDBEES.NS,11966,27.3754997253418,327575.22971344,163.78761485672,655655.2384266986
2018-04-09,BUY,PSUBNKBEES.NS,9667,33.893001556396484,327643.6460456848,163.8218230228424,327847.77055799094
2018-04-09,BUY,HNGSNGBEES.NS,927,353.29998779296875,327509.08868408203,163.75454434204102,174.9273295668536
2018-04-16,SELL,HNGSNGBEES.NS,927,345.6010131835937,320372.13922119135,160.18606961059567,320386.8804811476
2018-04-16,SELL,PSUBNKBEES.NS,9667,32.520999908447266,314380.5061149597,157.19025305747985,634610.1963430499
2018-04-16,BUY,BANKBEES.NS,1235,256.7510070800781,317087.4937438965,158.54374687194826,317364.15885228146
2018-04-16,BUY,NIF100BEES.NS,2845,111.44000244140624,317046.8069458007,158.52340347290036,158.82850300782593
2018-04-23,SELL,BANKBEES.NS,1235,252.85400390625,312274.69482421875,156.1373474121094,312277.38597981445
2018-04-23,SELL,NIF100BEES.NS,2845,112.98999786376952,321456.54392242426,160.72827196121213,633573.2016302776
2018-04-23,SELL,JUNIORBEES.NS,1186,309.07000732421875,366557.02868652344,183.27851434326172,999946.9518024577
2018-04-23,BUY,MON100.NS,6333,52.604000091552734,333141.13257980347,166.57056628990173,666639.2486563644
2018-04-23,BUY,HNGSNGBEES.NS,921,361.49798583984375,332939.6449584961,166.46982247924805,333533.13387538906
2018-04-23,BUY,NV20BEES.NS,6751,49.34600067138672,333134.85053253174,166.56742526626587,231.71591759106377
2018-04-30,SELL,HNGSNGBEES.NS,921,360.0010070800781,331560.92752075195,165.78046376037597,331626.86297458265
2018-04-30,SELL,MON100.NS,6333,50.10900115966797,317340.30434417725,158.67015217208862,648808.4971665877
2018-04-30,BUY,CONSUMBEES.NS,6117,53.0,324201.0,162.1005,324445.39666658774
2018-04-30,BUY,NIFTYBEES.NS,2916,111.16799926757812,324165.8858642578,162.0829429321289,117.42785939777968
2018-05-07,SELL,NV20BEES.NS,6751,49.23099899291992,332358.4742012024,166.1792371006012,332309.7228234996
2018-05-07,SELL,CONSUMBEES.NS,6117,52.11000061035156,318756.8737335205,159.37843686676027,650907.2181201533
2018-05-07,SELL,NIFTYBEES.NS,2916,110.72200012207033,322865.3523559571,161.43267617797855,973611.1377999324
2018-05-07,BUY,MOM100.NS,15512,20.90999984741211,324355.91763305664,162.17795881652833,649093.0422080592
2018-05-07,BUY,BANKBEES.NS,1240,261.39599609375,324131.03515625,162.065517578125,324799.9415342311
2018-05-07,BUY,NIF100BEES.NS,2892,112.16000366210938,324366.7305908203,162.18336529541017,271.02757811540505
2018-05-14,SELL,MOM100.NS,15512,20.700000762939453,321098.4118347168,160.5492059173584,321208.89020691486
2018-05-14,SELL,NIF100BEES.NS,2892,113.8000030517578,329109.60882568354,164.55480441284178,650153.9442281856
2018-05-14,BUY,NV20BEES.NS,6460,50.290000915527344,324873.40591430664,162.43670295715333,325118.1016109218
2018-05-14,BUY,PSUBNKBEES.NS,10205,31.83799934387207,324906.7833042145,162.45339165210723,48.86491505522281
2018-05-21,SELL,BANKBEES.NS,1240,260.614990234375,323162.587890625,161.5812939453125,323049.8715117349
2018-05-21,SELL,PSUBNKBEES.NS,10205,30.17200088500977,307905.2690315247,153.95263451576236,630801.1879087439
2018-05-21,SELL,NV20BEES.NS,6460,49.71500015258789,321158.9009857178,160.57945049285888,951799.5094439688
2018-05-21,BUY,MON100.NS,5738,55.255001068115234,317053.1961288452,158.52659806442261,634587.7867170591
2018-05-21,BUY,HNGSNGBEES.NS,880,360.0,316800.0,158.4,317629.38671705907
2018-05-21,BUY,LIQUIDBEES.NS,417,758.8095092773438,316423.56536865234,158.21178268432618,1047.6095657224068
2018-05-28,SELL,LIQUIDBEES.NS,417,758.8095092773438,316423.56536865234,158.21178268432618,317312.96315169043
2018-05-28,BUY,PSUBNKBEES.NS,9456,33.53900146484375,317144.7978515625,158.57239892578124,9.592901202151552
2018-06-04,SELL,MON100.NS,5738,55.30400085449219,317334.3569030762,158.6671784515381,317185.2826258268
2018-06-04,BUY,BANKBEES.NS,1185,267.3949890136719,316863.0619812012,158.43153099060058,163.78911363502266
2018-06-11,SELL,BANKBEES.NS,1185,269.4169921875,319259.1357421875,159.62956787109374,319263.2952879514
2018-06-11,BUY,MON100.NS,5627,56.70100021362305,319056.5282020569,159.52826410102844,47.23882179352222
2018-06-18,SELL,HNGSNGBEES.NS,880,346.2929992675781,304737.83935546875,152.36891967773437,304632.70925758453
2018-06-18,BUY,NV20BEES.NS,5919,51.43899917602539,304467.4361228943,152.23371806144715,13.039416628773324
2018-06-25,SELL,PSUBNKBEES.NS,9456,32.16400146484375,304142.7978515625,152.07139892578127,304003.7658692655
2018-06-25,SELL,NV20BEES.NS,5919,51.09000015258789,302401.7109031677,151.20085545158386,606254.2759169816
2018-06-25,BUY,BANKBEES.NS,1117,271.1289978027344,302851.0905456543,151.42554527282715,303251.7598260545
2018-06-25,BUY,NIFTYBEES.NS,2709,111.83499908447266,302961.0125198364,151.48050625991823,139.26679995818995
2018-07-02,SELL,MON100.NS,5627,56.13600158691406,315877.28092956543,157.9386404647827,315858.6090890588
2018-07-02,SELL,NIFTYBEES.NS,2709,110.99700164794922,300690.87746429443,150.34543873214722,616399.1411146212
2018-07-02,BUY,LIQUIDBEES.NS,403,763.7611083984375,307795.7266845703,153.89786334228515,308449.51656670857
2018-07-02,BUY,NIF100BEES.NS,2743,112.27999877929688,307984.0366516113,153.99201832580567,311.48789677146124
2018-07-09,SELL,LIQUIDBEES.NS,403,763.7536010742188,307792.70123291016,153.8963506164551,307950.29277906514
2018-07-09,SELL,NIF100BEES.NS,2743,112.37999725341795,308258.33246612543,154.1291662330627,616054.4960789576
2018-07-09,BUY,CONSUMBEES.NS,5814,52.95000076293945,307851.30443573,153.925652217865,308049.2659910097
2018-07-09,BUY,NIFTYBEES.NS,2728,112.85399627685548,307865.7018432618,153.9328509216309,29.631296826293692
2018-07-16,SELL,BANKBEES.NS,1117,272.0150146484375,303840.7713623047,151.92038568115234,303718.48227344983
2018-07-16,SELL,CONSUMBEES.NS,5814,54.11000061035156,314595.543548584,157.297771774292,618156.7280502595
2018-07-16,SELL,NIFTYBEES.NS,2728,113.98300170898438,310945.6286621094,155.47281433105468,928946.8838980378
2018-07-16,BUY,NV20BEES.NS,5930,52.18999862670898,309486.6918563842,154.7433459281921,619305.4486957254
2018-07-16,BUY,MON100.NS,5292,58.47600173950195,309455.00120544434,154.72750060272216,309695.71998967836
2018-07-16,BUY,NIF100BEES.NS,2694,114.87000274658205,309459.78739929205,154.72989369964603,81.20269668666879
2018-07-23,SELL,NIF100BEES.NS,2694,115.3000030517578,310618.2082214355,155.30910411071775,310544.10181401146
2018-07-23,BUY,NIFTYBEES.NS,2691,115.33999633789062,310379.9301452637,155.18996507263185,8.981703675177414
2018-07-30,SELL,MON100.NS,5292,60.57600021362305,320568.19313049316,160.28409656524659,320416.89073760307
2018-07-30,SELL,NV20BEES.NS,5930,53.87300109863281,319466.8965148926,159.7334482574463,639724.0538042382
2018-07-30,SELL,NIFTYBEES.NS,2691,117.74199676513672,316843.7132949829,158.42185664749147,956409.3452425736
2018-07-30,BUY,PSUBNKBEES.NS,8871,35.91899871826172,318637.4376296997,159.31871881484986,637612.5888940591
2018-07-30,BUY,JUNIORBEES.NS,1052,302.70001220703125,318440.4128417969,159.22020642089845,319012.95584584126
2018-07-30,BUY,HNGSNGBEES.NS,923,345.0050048828125,318439.61950683594,159.21980975341796,414.11652925191447
2018-08-06,SELL,HNGSNGBEES.NS,923,348.9989929199219,322126.0704650879,161.06303523254394,322379.12395910727
2018-08-06,BUY,CPSEETF.NS,11670,27.61000061035156,322208.7071228027,161.10435356140135,9.312482743174769
2018-08-13,SELL,CPSEETF.NS,11670,27.059999465942383,315790.1937675476,157.89509688377382,315641.611153407
2018-08-13,SELL,JUNIORBEES.NS,1052,303.17999267578125,318945.3522949219,159.47267614746093,634427.4907721814
